Item,Quantity
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
Pepsi,65
Coke,60
Dark Fantasy,41
Milkbiky,92
Bread,21
Chips,0
Corn,44
Roasted Almond,11
Oreo,9
